,q1_oxf_hs_work,q1_oxf_hs_standing,q1_eq5d_usual_activities,q1_oxf_hs_shopping,q1_oxf_hs_washing,q1_oxf_hs_limping,q1_oxf_hs_transport,q1_oxf_hs_stairs,q1_eq5d_discomfort,q1_oxf_hs_dressing,q1_oxf_hs_walking,q1_eq5d_anxiety,q1_oxf_hs_sudden_pain,q1_oxf_hs_night_pain,q1_eq5d_vas,cc_lbp,pers_age,hr_prev_side,cc_dep,pers_sex,cc_hbp_meds,q1_eq5d_persol_care,hr_prev,cc_hbp,side,cc_hd_meds,sch_edu,bmi,non_sch_edu,cc_sd,kr_prev,cc_dep_meds,kr_prev_side,cc_diab_meds,pjr_diag,tjr_any,cc_nc,cc_livd,cc_sd_meds,cc_ii_arth,cc_hd,cc_diab,cc_lud_meds,cc_rf,cc_lud
0,0.09602742,0.07947922,0.07346691,0.06062003,0.05673906,0.04642231,0.043197725,0.03865935,0.03796006,0.032592934,0.032170422,0.02637379,0.02550902,0.024734035,0.024686435,0.023287177,0.022224812,0.020808378,0.020755075,0.020058997,0.019956896,0.018997181,0.018994933,0.017187966,0.015820004,0.015696349,0.01557644,0.015430098,0.015387822,0.015318055,0.013170595,0.012690534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.089830965,0.07012146,0.04430998,0.037840385,0.039260283,0.051965144,0.03562805,0.046613205,0.060603112,0.029377999,0.031456914,0.017033083,0.027985295,0.029945511,0.013443473,0.017829392,0.018224608,0.019048953,0.020745188,0.0124651035,0.027553914,0.020452114,0.027941095,0.0122292265,0.024640743,0.0,0.0,0.017574638,0.015608446,0.020934107,0.014489023,0.017518966,0.0,0.0,0.023296762,0.0055621783,0.0,0.0,0.036500957,0.0,0.0,0.0,0.0,0.0,0.021969728
2,0.08274362,0.064941674,0.061741173,0.03745944,0.02935521,0.037903473,0.03174794,0.07826394,0.08660098,0.030412015,0.020387614,0.017612359,0.024021866,0.03999357,0.013361469,0.017054798,0.019270804,0.017498285,0.01887899,0.019326229,0.027508808,0.033544835,0.0,0.024468709,0.018119296,0.011707701,0.01179956,0.01815771,0.014917506,0.010820074,0.018066853,0.0,0.013308045,0.0,0.020737201,0.0,0.0,0.0,0.0,0.0144750085,0.0,0.0,0.013793218,0.0,0.0
3,0.1143125,0.06859352,0.04964188,0.030534374,0.041106645,0.044763938,0.031119412,0.057199433,0.06198379,0.032721117,0.035184603,0.019500475,0.033739936,0.03221707,0.019633776,0.024363566,0.020559521,0.023587767,0.0,0.02470735,0.029175356,0.023778753,0.0,0.01716517,0.02494681,0.0,0.0281409,0.019398984,0.017806768,0.0,0.021882538,0.021848982,0.0,0.0,0.022323752,0.0,0.0,0.0,0.0,0.008061307,0.0,0.0,0.0,0.0,0.0
4,0.0900222,0.07960004,0.05321723,0.03355197,0.035630777,0.042459562,0.044222254,0.058204617,0.035717398,0.050214052,0.030052952,0.022533637,0.038067926,0.02810838,0.018724175,0.021847365,0.020478364,0.022512117,0.0,0.01915624,0.020292085,0.035452403,0.0,0.016081695,0.028760578,0.0,0.017663792,0.01882433,0.020914102,0.017628485,0.023903558,0.018958446,0.0,0.0,0.0,0.0,0.0,0.0,0.009349863,0.0,0.014587274,0.013262083,0.0,0.0,0.0
5,0.08504739,0.08192981,0.04620073,0.026742607,0.030787496,0.043126896,0.05027385,0.05263079,0.040023495,0.03958786,0.034036487,0.02062392,0.020456672,0.029848851,0.015672702,0.014501682,0.023345262,0.023367263,0.011882206,0.0051371735,0.01689522,0.02888231,0.018238632,0.0,0.018798847,0.009337497,0.014461853,0.0160796,0.014638375,0.01320667,0.007605033,0.015380814,0.008878084,0.0,0.039161284,0.009414757,0.0,0.0,0.0,0.022202017,0.013291333,0.0,0.014789082,0.0,0.023515433
6,0.08296686,0.08115989,0.03353099,0.03389192,0.046662677,0.036204487,0.037287965,0.10338232,0.044009674,0.04722071,0.026511882,0.018258536,0.034563035,0.026695458,0.017301695,0.02111383,0.020929378,0.021723691,0.0,0.009280461,0.020516992,0.026094865,0.02253114,0.008924766,0.021550938,0.010266793,0.017698867,0.021330712,0.01487,0.0,0.014473537,0.024728619,0.0,0.0,0.022611579,0.0,0.0,0.0,0.01356893,0.0,0.0,0.0,0.0,0.0,0.018136846
7,0.09570607,0.08298677,0.042790137,0.03530628,0.044150494,0.04482379,0.042726804,0.06507137,0.058099058,0.051792264,0.024030495,0.01817568,0.02865365,0.024825854,0.01993946,0.020132631,0.020488381,0.018619487,0.0,0.014725762,0.019653145,0.036421955,0.019198962,0.011496472,0.020434938,0.008418629,0.0,0.015451891,0.013616252,0.0,0.022776537,0.020224584,0.0,0.0,0.025684563,0.013851406,0.0,0.0,0.013415066,0.0,0.0063111684,0.0,0.0,0.0,0.0
8,0.087358624,0.08674612,0.0682298,0.045331925,0.03514518,0.039444845,0.033413317,0.05318893,0.044183165,0.039216477,0.029376803,0.017931757,0.021498922,0.038115982,0.017377166,0.02151779,0.018572273,0.018131139,0.01591621,0.0017571659,0.018901788,0.022176063,0.03304557,0.018390704,0.022635648,0.017489018,0.025525203,0.016174488,0.018418062,0.010782025,0.023692373,0.0,0.0,0.0,0.031896777,0.0,0.0,0.0,0.008418709,0.0,0.0,0.0,0.0,0.0,0.0
9,0.08136063,0.08817123,0.047782686,0.029793076,0.039472423,0.0439167,0.0335319,0.08040668,0.03597525,0.03022826,0.02881397,0.02094943,0.03163353,0.032709736,0.012503602,0.018408665,0.019918684,0.014179116,0.0,0.014690314,0.02296441,0.030599434,0.0,0.02377428,0.016327275,0.007950219,0.016182782,0.014302077,0.016211051,0.014284717,0.010640406,0.018475376,0.0,0.0,0.043438032,0.008220121,0.0,0.0,0.0,0.013306965,0.0,0.026493872,0.0,0.0,0.012383139
10,0.09333488,0.094036505,0.046414163,0.030336948,0.03419728,0.040141013,0.04532257,0.032603163,0.046375386,0.033505898,0.037718754,0.020745866,0.025102224,0.029703332,0.016528955,0.025626378,0.02099231,0.019940535,0.0,0.015730014,0.01993323,0.023681434,0.0,0.019495303,0.02307895,0.015784591,0.022618195,0.017631805,0.017151391,0.01925824,0.011623923,0.013330967,0.0,0.0,0.051215924,0.0016194568,0.0,0.0,0.0050952276,0.0,0.017307106,0.0,0.012818063,0.0,0.0
11,0.07057494,0.106179394,0.054521527,0.02729754,0.03644483,0.037952323,0.033754624,0.067640916,0.0632972,0.031580236,0.026277145,0.021025082,0.017013498,0.021446431,0.012315761,0.024452625,0.019734649,0.01849478,0.021718016,0.0008589939,0.01638682,0.028942047,0.041875534,0.013118458,0.0121610435,0.023817768,0.032850236,0.01816677,0.017795773,0.01664752,0.017289577,0.021603022,0.0,0.0,0.014658347,0.0,0.0,0.0,0.0,0.012106617,0.0,0.0,0.0,0.0,0.0
12,0.08904025,0.08000797,0.04523248,0.045738675,0.03608838,0.041334752,0.03594519,0.06587902,0.057284646,0.022787668,0.03345967,0.016589133,0.028843392,0.036924392,0.018423889,0.021270465,0.019732047,0.021082638,0.0,0.016467161,0.017822273,0.017797414,0.019397937,0.015139361,0.018450521,0.01416834,0.020756925,0.010573363,0.018403938,0.009819808,0.013529618,0.026223497,0.0,0.0,0.036340117,0.0,0.0,0.0,0.0,0.0,0.029445024,0.0,0.0,0.0,0.0
13,0.08987094,0.08586397,0.055601142,0.04823359,0.037521187,0.033228457,0.041022733,0.06268716,0.034393433,0.03519355,0.025186734,0.02177328,0.025501162,0.022362085,0.015118633,0.018250974,0.018145595,0.020195544,0.013582566,0.012354652,0.021810923,0.022763502,0.0,0.01941019,0.006489868,0.005682959,0.018863177,0.017011553,0.01580683,0.028810877,0.024712736,0.0148788495,0.0,0.010099638,0.029073764,0.01721051,0.0,0.0,0.011154001,0.0,0.020133154,0.0,0.0,0.0,0.0
14,0.09128056,0.07796688,0.050259203,0.031032095,0.03800043,0.05037841,0.04942051,0.046143018,0.046695575,0.03328384,0.027891979,0.018286403,0.022225723,0.03546694,0.01774794,0.016322844,0.01537778,0.017167931,0.02035203,0.016907262,0.01422051,0.030309934,0.04022824,0.017629502,0.016362159,0.015053388,0.0,0.013515566,0.018347511,0.020302609,0.01740771,0.005187777,0.0,0.0,0.013754853,0.0,0.0,0.0,0.0,0.019831879,0.018546013,0.0,0.0,0.0,0.017094955
15,0.077909246,0.0801665,0.059524186,0.042063657,0.034824874,0.05243563,0.043744955,0.04662698,0.05328074,0.0333991,0.0348558,0.01894034,0.032541208,0.022719622,0.015135497,0.021540163,0.017427363,0.020948911,0.013055837,0.016864954,0.015691511,0.017140904,0.014724772,0.006942458,0.018441578,0.011747084,0.010194537,0.015344678,0.015592099,0.026451437,0.008870366,0.017723853,0.0,0.0,0.038010452,0.0,0.0,0.0,0.014880893,0.0,0.019359624,0.010878175,0.0,0.0,0.0
16,0.09120001,0.08732222,0.053896055,0.040210776,0.035824448,0.047721755,0.041119777,0.051003236,0.044516597,0.021230776,0.040014062,0.020787109,0.028249543,0.029178265,0.02043117,0.027164381,0.020143377,0.016632725,0.0,0.020072678,0.021052504,0.026835587,0.012174991,0.025622819,0.01860491,0.0,0.020531371,0.018404413,0.016265031,0.008794053,0.01664669,0.015422792,0.0,0.0,0.052892722,0.0,0.0,0.0,0.010033168,0.0,0.0,0.0,0.0,0.0,0.0
17,0.08006049,0.098455615,0.07656962,0.033759713,0.035326757,0.03453957,0.023334334,0.08322021,0.063176274,0.027255995,0.02632094,0.017864075,0.025710814,0.022346098,0.016434675,0.020215679,0.020418223,0.017953806,0.0,0.009342898,0.020971648,0.02814268,0.05114055,0.016000377,0.01864367,0.0,0.013848025,0.01484697,0.0055655884,0.0,0.020570843,0.01051963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025616497,0.020928118,0.0,0.0,0.0,0.020899508
18,0.08390513,0.09416167,0.039162062,0.030160155,0.05031799,0.039963692,0.04032106,0.05667463,0.037708607,0.043875474,0.022457741,0.023481488,0.022677816,0.026992694,0.019141305,0.023420343,0.018999942,0.017058978,0.0,0.0056341803,0.021664592,0.035685383,0.02208698,0.012658371,0.017091228,0.0,0.016646124,0.014955295,0.017282771,0.02484099,0.02123475,0.011323887,0.0,0.0,0.045788936,0.017213764,0.0,0.0,0.0,0.010876001,0.0,0.014536018,0.0,0.0,0.0
19,0.09153776,0.07769588,0.049858864,0.04228964,0.033153053,0.036975663,0.03435563,0.09203193,0.037272394,0.030765178,0.021985156,0.017760664,0.033187617,0.024847943,0.016397204,0.018838245,0.020148387,0.024492957,0.0,0.012126514,0.02190536,0.0202973,0.0129995635,0.012058206,0.020716872,0.0,0.019387264,0.014602519,0.017204449,0.0,0.015411566,0.023803223,0.0,0.0,0.046214808,0.036159776,0.0,0.0,0.0,0.0040286295,0.019489773,0.0,0.0,0.0,0.0
